label x y
Townsville,+Australia4282 0.0 0.0
Brisbane,+Australia1800 0.0 0.0
Brisbane,+Australia1769 0.0 0.0
Darwin,+Australia1837 0.0 0.0
Darwin,+Australia1838 0.0 0.0
Adelaide,+Australia1727 0.0 0.0
Perth,+Australia4160 0.0 0.0
Wellington,+Australia2426 0.0 0.0
Perth,+Australia4167 0.0 0.0
Albany,+Australia1752 0.0 0.0
Perth,+Australia4161 0.0 0.0
Wellington,+Australia2427 0.0 0.0
Perth,+Australia284 0.0 0.0
Victor+Harbour,+Australia4288 0.0 0.0
Adelaide,+Australia1728 0.0 0.0
Ballarat,+Australia1761 0.0 0.0
Melbourne,+Australia3867 0.0 0.0
Nuriootpa,+Australia3935 0.0 0.0
Rockhampton,+Australia4195 0.0 0.0
Bathurst,+Australia1764 0.0 0.0
Sydney,+Australia4208 0.0 0.0
Penrith,+Australia4152 0.0 0.0
Bendigo,+Australia1766 0.0 0.0
Sydney,+Australia4260 0.0 0.0
Sydney,+Australia4210 0.0 0.0
Mount+Gambier,+Australia3925 0.0 0.0
Newcastle,+Australia3930 0.0 0.0
Gosford,+Australia1849 0.0 0.0
Canberra,+Australia1813 0.0 0.0
Canberra,+Australia565 0.0 0.0
Canberra,+Australia1824 0.0 0.0
Canberra,+Australia1832 0.0 0.0
Melbourne,+Australia3868 0.0 0.0
Canberra,+Australia1829 0.0 0.0
Canberra,+Australia1821 0.0 0.0
Murray+Bridge,+Australia3928 0.0 0.0
Canberra,+Australia1814 0.0 0.0
Murray+Bridge,+Australia3929 0.0 0.0
Melbourne,+Australia3881 0.0 0.0
Melbourne,+Australia3870 0.0 0.0
Melbourne,+Australia3869 0.0 0.0
Melbourne,+Australia3882 0.0 0.0
Melbourne,+Australia3866 0.0 0.0
Melbourne,+Australia3875 0.0 0.0
Melbourne,+Australia734 0.0 0.0
Port+Pirie,+Australia4193 0.0 0.0
Port+Lincoln,+Australia4186 0.0 0.0
Port+Lincoln,+Australia4187 0.0 0.0
Brisbane,+Australia1799 0.0 0.0
Brisbane,+Australia1770 0.0 0.0
Sydney,+Australia4241 0.0 0.0
Brisbane,+Australia1774 0.0 0.0
Brisbane,+Australia1802 0.0 0.0
Wollongong,+Australia4297 0.0 0.0
Tamworth,+Australia4274 0.0 0.0
Hobart,+Australia1852 0.0 0.0
Hobart,+Australia1853 0.0 0.0
Launceston,+Tazmania1867 0.0 0.0
Ulverstone,+Tasmania4284 0.0 0.0
Perth,+Australia4156 0.0 0.0
Perth,+Australia4162 0.0 0.0
Port+Macquarie,+Australia4191 0.0 0.0
Warnambool,+Australia4293 0.0 0.0
Wagga+Wagga,+Australia4291 0.0 0.0
Kalgoorlie,+Australia1863 0.0 0.0
Albury,+Australia1755 0.0 0.0
Whyalla,+Australia647 0.0 0.0
Alice+Springs,+Australia1758 0.0 0.0
Shepparton,+Australia4200 0.0 0.0
Sydney,+Australia4237 0.0 0.0
Perth,+Australia4166 0.0 0.0
Adelaide,+Australia1722 0.0 0.0
Sydney,+Australia3546 0.0 0.0
Melbourne,+Australia751 0.0 0.0
Brisbane,+Australia1768 0.0 0.0
Southport,+Australia4207 0.0 0.0
Bundaberg,+Australia1806 0.0 0.0
Maryborough,+Australia3859 0.0 0.0
Maroochydore,+Australia3857 0.0 0.0
Toowoomba,+Australia4277 0.0 0.0
Mackay,+Australia3851 0.0 0.0
Cairns,+Australia1809 0.0 0.0
Mildura,+Australia3920 0.0 0.0
Coffs+Harbour,+Australia1835 0.0 0.0
Melbourne,+Australia3897 0.0 0.0
Bunbury,+Australia1804 0.0 0.0
Geelong,+Australia1845 0.0 0.0
Armidale,+Australia1760 0.0 0.0
Moree,+Australia3921 0.0 0.0
Lismore,+Australia1870 0.0 0.0
Dubbo,+Australia1843 0.0 0.0
Orange,+Australia4147 0.0 0.0
Orange,+Australia4148 0.0 0.0
Campbelltown,+Australia1811 0.0 0.0
Sydney,+Australia4243 0.0 0.0
Port+Augusta,+Australia4184 0.0 0.0
Karratha,+Australia1865 0.0 0.0
Geraldton,+Australia1847 0.0 0.0
Adelaide,+Australia1729 0.0 0.0
Adelaide,+Australia1733 0.0 0.0
Adelaide,+Australia1737 0.0 0.0
Morwell,+Australia3923 0.0 0.0
Melbourne,+Australia3905 0.0 0.0
Lismore,+Australia1869 0.0 0.0
